Title,Description ,en,
SOME_ERROR_OCCURED,,"Some error occurred, please try again later",y
DATABASE_CONNECTION_ERROR,,Database connection error,
REQUEST_PARAM_INVALID,,Request parameter is not valid,
INVALID_CONTENT_TYPE,,Invalid Content-Type in request header,
INVALID_REQUEST_METHOD_URL_AND_BODY,,"Invalid combination of request method, url and body",
INVALID_FORMAT_IN_REQUEST,,Invalid format in request parameter value,
LEAD_COULD_NOT_POST,,Lead could not post,
MAIL_SENDING_ERROR,,Mail could not not be sent,
BAD_REQUEST,,Bad Request,
LOG_MESSAGE_ERROR,,Log message Empty or Log level invalid,
CANT_COMPLETE_ACTION,,Action cant be completed,
INVALID_ASPECT_RATIO,,Invalid Aspect Ratio,
ERROR_MSG,,Error msg :,
AWS_CREDENTIAL_ERROR,,AWS credentials not configured!,
MEDIA_NOT_FOUND,,Media should not be null!,
AUTHENTICATION_ERROR,,Authentication error,
UNAUTHORIZED,,Unauthorized,
INVALID_USER_PREFERENCE,,Invalid User Preference,
BAD_CREDENTIAL,,Bad credentials,
EMAIL_NOT_REGISTERED,,"Sorry, this email id is not registered with us.",
INVALID_PASS,,Invalid password,
OLD_PASS_REQUIRED,,Old password required,
NEW_PASS_CONFIRM_PASS_NOT_MATCHED,,New password and confirm password do not match,
INVALID_USER_ID,,Invalid userId,
INVALID_EMAIL,,Invalid email address,
INVALID_COUNTRY,,Invalid country,
INVALID_CONTACT_NUMBER,,Invalid contact number,
EMAIL_ALREADY_REGISTERED,,Email already registered,
USERNAME_ALREADY_REGISTERED,,Username already registered,
PRIMARY_CONTACT_ALREADY_REGISTERED,,Primary Contact Number already registered,
USER_NAME_IS_INCORRECT,,Usernme is incorrect,
PASS_IS_NOT_MATCH,,New password and confirm Password is not matched,
USER_GENDER,,Gender is required!,
USER_NAME_PASSWORD_INCORRECT,,Oops! that email/password combination is not valid.,
USER_EMAIL_REQUIRED,,Email is required,
USER_INCORRECT_SALT,,Incorrect credentials!,
USER_DEATIVATED_BY_ADMIN,,Please contact to administrator!,
USER_HANDSHAKE_FAILED,,Incorrect request!,
TOKEN_INVALID,,Invalid token,
TOKEN_EXPIRED,,Token expired,
USERNAME_OR_EMAIL_ALL_READY_EXIST,,Username or Email already exists,
USER_NOT_LOGGED_IN_THIS_DEVICE,,User not logged-in this device,
USER_ALL_REDAY_FOLLOWER,,User is already follower,
USER_RATING_ALREADY_DONE,,User rating is already exist,
USER_ID_DOES_NOT_EXIST,,User id does not exist,
USER_NOT_FOLLOWED_SELF,,User can not follow himself,
USER_ALREADY_FOLLOW,,User already follow this user,
OLD_PASS_INCORRECT,,Old password is incorrect,
NOT_AVAILABLE_CLASSES,,"You have not balance classes, Please purchase more classes",
LIMIT_EXCEED_PACKAGE,,You have exceed limit of package for this gym,
PACKAGE_EXPIRED_BEFORE_CLASS,,Your package will be expired before class date.,
EMAIL_ALREADY_VERIFIED,,Email already verified,
INACTIVE_USER,,"your account is not active, please contact admin!",
EMAIL_VERIFIED_MSG,,Thank You! Your EmailId is verified.,
INVILID_LINK,,InValid Link...,
PASS_RESET_MSG,,Password reset successfully.,
USER_DELETED,,This User has been removed.,
USER_RATING,,You are not able for rating.,
TRAINER_GYM_NOT_ALLOW,,Trainer and gym portal is only available on web. Please visit www.p5m.me to access your account.,
TRAINER_DELETED,,This Trainer has been removed.,
INVALID_GENDER_CLASS_1,,This is a,
INVALID_GENDER_CLASS_2,,s only class,
CLASS_DETAIL_NOT_FOUND,,Class is not exist,
USER_AL_READY_JOIN,,User already join this class,
CLASS_SESSION_ALREADY_FULL,,Class session is already full,
WISH_LIST_NOT_AVAILABLE,,Wish list not available,
ALREADY_ADDED_WISH_LIST,,Already added in wish list,
ALREADY_CANCELLED_CLASS,,This class is already cancelled.,
ALREADY_EXIST_CLASSSCHEDULE,,This class timing is already fixed by another class,
ALREADY_DELETE_CLASS,,This class has been deleted.,
CLASSSCHEDULE_LIST,,At least one schedule required!,
CLASS_SESSION_EXPIRED,,Class session is expired!,
CLASS_SESSION_STARTED,,Class session is already started!,
CLASS_SESSION_DELETED,,Class session has been deleted.,
SEAT_FULL,,Class is full,
INACTIVE_TRAINER,,You can not active this class. because trainer is inactived,
UNJOINED,,User already unjoin this class,
RATING_IS_NOT_FOUND,,Rating is not exist!,
SELECT_FRIENDS,,Plz Select your friend(s) Or Book Directly!,
SHARE_LIMIT_EXCEEDED,,You have exceeded package share limit!,
CLASS_JOIN_LIMIT_EXCEEDED,,You have exceeded class join limit!,
YOUR_FRIEND_AL_READY_JOIN,,Your friend already join this class,
COUNTRY_STATE_CITY_REQUIRED,,"Country, state and city is required!",
ERROR_IN_SAVTING_COUNTRY_STATE_CITY,,Some error occurred in saving data!,
ERROR_IN_SAVTING_UNIVERSITY,,Could not saved!,
INVALID_PACKAGE,,Invalid Package Name,
PROMO_CODE_INVALID,,This promo code is invalid,
PROMO_CODE_EXPIRED,,This promo code has been expired,
PROMO_CODE_GENDER,,This promo code is only valid for,
PROMO_CODE_VALID,,This promo code is not applicable on selected plan,
DEFAULT_PROMO_APPLIED,,The plan is already at its best price,
UPDATE_APP_FOR_PROMO_APPLIED,,You need to update the application in order to avail this offer.,
ALREADY_MAPPED,,"Gym is already mapped with same package!,please try with another package.",
GYM_PACKAGE_MAPPING,,Gym is not mapped with any package!,
PACKAGE_EXITS,,You have already package,
PACKAGE_NOT_EXITS,,Package not found,
INVALID_SPECIAL_CLASS,,It seems you are on an old version of the app. Update the app to be able to join this class,
